Symbol,Close,AVG_20D_VOLUME,TRADED_VALUE,LIQUIDITY_SCORE,LIQUIDITY_RANK,LIQUIDITY_BUCKET
ARIHANTCAP,,199681,,,,ILLIQUID
ARIHANTSUP,,521212,,,,ILLIQUID
ARKADE,,325272,,,,ILLIQUID
AROGRANITE,,7993,,,,ILLIQUID
ARMANFIN,,69675,,,,ILLIQUID
ARROWGREEN,,71756,,,,ILLIQUID
ARSSBL,,296440,,,,ILLIQUID
ARTNIRMAN,,1923,,,,ILLIQUID
ARVEE,,694,,,,ILLIQUID
ARVINDFASN,,604114,,,,ILLIQUID
ARVIND,,1683957,,,,ILLIQUID
ARVSMART,,93002,,,,ILLIQUID
ASAL,,38402,,,,ILLIQUID
ASAHISONG,,32686,,,,ILLIQUID
ASALCBR,,36064,,,,ILLIQUID
