Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS
MANAPPURAM.NS,1.94,8.12,23.17,14.7,-21.23,64.2
HONAUT.NS,18.64,22.01,23.15,21.72,-4.509999999999998,63.85
BANDHANBNK.NS,6.01,0.29,23.12,21.24,-17.11,54.25
NAGREEKCAP.NS,2.65,2.01,23.0,19.11,-20.35,34.92
KRIDHANINF.NS,-0.39,14.03,22.96,-5.91,-23.35,32.51
KIRLOSENG.NS,8.89,8.97,22.9,39.73,-14.009999999999998,52.07
SCI.NS,-8.21,-1.22,22.9,24.17,-31.11,42.38
ANTELOPUS.NS,0.71,13.19,22.88,40.71,-22.169999999999998,29.34
GGBL.NS,1.89,5.05,22.84,43.72,-20.95,33.59
ONEPOINT.NS,6.76,12.21,22.76,43.08,-16.0,55.63
SIMPLEXINF.NS,18.87,12.51,22.74,38.39,-3.8699999999999974,35.52
NETWEB.NS,4.89,-5.13,22.71,21.53,-17.82,49.46
SAAKSHI.NS,1.24,-5.02,22.67,39.65,-21.430000000000003,45.65
AKIKO.NS,-13.9,-7.0,22.59,21.93,-36.49,49.65
UNIPARTS.NS,12.42,16.18,22.56,37.55,-10.139999999999999,53.87
POLICYBZR.NS,-3.48,6.74,22.5,27.0,-25.98,64.5
SAIL.NS,2.45,12.72,22.41,36.81,-19.96,55.06
GCSL.NS,4.93,9.25,22.34,24.6,-17.41,53.22
AILIMITED.NS,3.91,0.86,22.34,34.57,-18.43,43.46
ARE&M.NS,10.05,4.65,22.32,12.19,-12.27,57.85
FSL.NS,6.02,10.79,22.31,23.65,-16.29,42.0
NITINSPIN.NS,-1.76,-0.13,22.25,37.8,-24.01,57.97
MINDACORP.NS,19.32,20.56,22.17,15.65,-2.8500000000000014,61.78
RADICO.NS,-4.55,4.26,22.16,34.47,-26.71,56.66
ALKYLAMINE.NS,-5.75,-2.08,22.1,20.27,-27.85,46.83
PLASTIBLEN.NS,6.1,4.92,21.99,27.87,-15.889999999999999,54.07
SYRMA.NS,3.87,1.24,21.99,35.52,-18.119999999999997,49.03
TINNARUBR.NS,5.05,-4.33,21.97,15.84,-16.919999999999998,43.95
COASTCORP.NS,1.02,5.03,21.93,39.37,-20.91,44.7
KRISHNADEF.NS,-4.93,9.4,21.91,21.18,-26.84,34.99
KAPSTON.NS,4.5,2.48,21.87,-6.5,-17.37,34.76
CYBERTECH.NS,5.89,19.9,21.86,39.53,-15.969999999999999,41.96
HARDWYN.NS,-3.75,8.57,21.84,62.06,-25.59,46.9
IMPEXFERRO.NS,7.91,16.23,21.82,20.03,-13.91,55.72
KEI.NS,5.27,7.66,21.82,21.14,-16.55,60.1
WEWORK.NS,20.13,10.28,21.73,21.96,-1.6000000000000014,48.03
ESAFSFB.NS,3.59,7.78,21.72,14.3,-18.13,48.48
PROPEQUITY.NS,-6.94,15.34,21.72,40.61,-28.66,32.55
HONASA.NS,16.49,23.83,21.7,46.12,-5.210000000000001,62.38
GREAVESCOT.NS,8.34,8.11,21.67,26.61,-13.330000000000002,50.62
VINYLINDIA.NS,-5.42,10.18,21.64,34.0,-27.060000000000002,41.31
SGFIN.NS,0.67,-1.86,21.61,53.62,-20.939999999999998,44.27
VIYASH.NS,-1.6,15.96,21.6,21.29,-23.200000000000003,47.28
SUDARSCHEM.NS,12.34,5.36,21.56,17.28,-9.219999999999999,47.95
INNOVACAP.NS,-4.86,-1.32,21.55,33.96,-26.41,56.28
LLOYDS.NS,-1.04,1.77,21.44,99.12,-22.48,26.12
GABRIEL.NS,2.61,5.93,21.41,24.35,-18.8,48.17
GOACARBON.NS,1.16,5.46,21.39,14.85,-20.23,47.07
VIJIFIN.NS,4.46,-3.55,21.32,93.76,-16.86,36.74
